nome,email,cucina,zona,telefono,sito,link_demo,piatti
"Chulho","shyam@gmail.com","Indian Restaurant","Haymarket e Chinatown","(02) 8593 1620","https://www.chulho.com.au","https://gustobolsa-chat.pages.dev/?restaurant=chulho&table=1","129"
"Cinder","hello@cinder.restaurant","brazilian","Centro citta' (CBD)","+61 2 9413 9848","https://cinder.restaurant/","https://gustobolsa-chat.pages.dev/?restaurant=cinder&table=1","20"
"City Oltra","hello@oltra.pizza","Pizzeria","Haymarket e Chinatown","0423 808 400","https://oltra.pizza","https://gustobolsa-chat.pages.dev/?restaurant=city-oltra&table=1","9"
"Claire's Kitchen at le Salon","marc@claireskitchen.com.au","French Restaurant","Surry Hills e Darlinghurst","0493 233 870","http://www.claireskitchen.com.au","https://gustobolsa-chat.pages.dev/?restaurant=claire-s-kitchen-at-le-salon&table=1","19"
"Clam Bar","reservations@clambarsydney.com\","Bar","Circular Quay e The Rocks","(02) 9016 1590","http://www.clambarsydney.com","https://gustobolsa-chat.pages.dev/?restaurant=clam-bar&table=1","10"
"Colombo Social","help@plateitforward.org.au","Sri Lankan Restaurant","Newtown","0423 177 067","https://colombosocial.com.au","https://gustobolsa-chat.pages.dev/?restaurant=colombo-social&table=1","30"
"Come to the Grill at the International for high-end, open-air dining","info@internationalsydney.com","Restaurant","Centro citta' (CBD)","","https://internationalsydney.com","https://gustobolsa-chat.pages.dev/?restaurant=come-to-the-grill-at-the-international-f&table=1","53"
"Comeco Foods","comecofoods@gmail.com","Donut Shop","Newtown","","https://www.comecofoods.com.au","https://gustobolsa-chat.pages.dev/?restaurant=comeco-foods&table=1","16"
"Continental Delicatessen","enquiries@continentaldelicatessen.com.au","","Centro citta' (CBD)","","https://www.continentaldelicatessen.com.au/cbd","https://gustobolsa-chat.pages.dev/?restaurant=continental-delicatessen&table=1","20"
"Cooper's Hotel","hello@thecoopershotel.com.au","Gastropub","Newtown","(02) 9550 3461","http://www.coopershotel.com.au","https://gustobolsa-chat.pages.dev/?restaurant=cooper-s-hotel&table=1","14"
"Costi's Fish & Chips","accounts@costisfishandchips.com.au","Seafood Restaurant","Circular Quay e The Rocks","(02) 8084 6955","https://www.costisfishandchips.com.au","https://gustobolsa-chat.pages.dev/?restaurant=costi-s-fish-chips&table=1","12"
"Criterion Hotel","enquiries@criterionhotel.net.au","Pub","Centro citta' (CBD)","(02) 9264 3093","http://www.criterionhotel.net.au","https://gustobolsa-chat.pages.dev/?restaurant=criterion-hotel&table=1","24"
"Crown Hotel Surry Hills","info@universalhotels.com.au","Bar","Surry Hills e Darlinghurst","(02) 9699 3460","http://www.crownhotel.com.au","https://gustobolsa-chat.pages.dev/?restaurant=crown-hotel-surry-hills&table=1","44"
"Customs House Bar","customshousebar@marriotthotels.com","Beer Garden","Circular Quay e The Rocks","(02) 9259 7317","https://www.customshousebar.com.au","https://gustobolsa-chat.pages.dev/?restaurant=customs-house-bar&table=1","98"
"Cuzzy’s Kebab","cuzzyskebaberko@gmail.com","Doner Restaurant","Newtown","(02) 8068 8833","https://www.cuzzyskebab.com","https://gustobolsa-chat.pages.dev/?restaurant=cuzzy-s-kebab&table=1","25"
"Da Orazio","reservations@daorazio.com.au","Italian Restaurant","Bondi Beach","(02) 8376 1600","https://www.daorazio.com.au","https://gustobolsa-chat.pages.dev/?restaurant=da-orazio&table=1","102"
"Dad & The Frog Cafe","contact@dadandthefrog.com.au","Café","Surry Hills e Darlinghurst","0410 256 053","https://dadandthefrog.com.au","https://gustobolsa-chat.pages.dev/?restaurant=dad-the-frog-cafe&table=1","49"
"de Vine","info@devinefoodandwine.com.au","Restaurant","Centro citta' (CBD)","(02) 9262 6906","http://www.devinefoodandwine.com.au","https://gustobolsa-chat.pages.dev/?restaurant=de-vine&table=1","10"
"Dean & Nancy on 22","cocktails@deanandnancyon22.com.au","Cocktail Bar","Centro citta' (CBD)","(02) 9182 9777","https://www.deanandnancyon22.com.au","https://gustobolsa-chat.pages.dev/?restaurant=dean-nancy-on-22&table=1","14"
"Dear Sainte Éloise","tilly@lovetillydevine.com","","Potts Point e Kings Cross","","https://www.dearsainteeloise.com/","https://gustobolsa-chat.pages.dev/?restaurant=dear-sainte-eloise&table=1","9"
"Delhi O Delhi","info@delhiodelhi.com.au","indian","Newtown","+61 2 9557 4455","https://www.delhiodelhi.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=delhi-o-delhi&table=1","61"
"Diethnes Greek Restaurant","diethnesgreek@optusnet.com.au","Greek Restaurant","Haymarket e Chinatown","(02) 9267 8956","https://www.diethnes.com.au","https://gustobolsa-chat.pages.dev/?restaurant=diethnes-greek-restaurant&table=1","31"
"Dispensary 1908","dispensary1908cafebar@gmail.com","Café","Glebe","(02) 8386 3129","https://dispensary1908.com.au","https://gustobolsa-chat.pages.dev/?restaurant=dispensary-1908&table=1","34"
"Divino Osteria","bookings@divinoosteria.com.au","italian","Potts Point e Kings Cross","","https://www.divinoosteria.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=divino-osteria&table=1","11"
"Dizzybird","dizzybirdsydney@fourpoints.com","Restaurant","Haymarket e Chinatown","(02) 8202 8822","https://www.dizzybirdsydney.com","https://gustobolsa-chat.pages.dev/?restaurant=dizzybird&table=1","28"
"don Fred","info@donfred.com.au","Italian Restaurant","Newtown","(02) 9000 5602","http://donfred.com.au","https://gustobolsa-chat.pages.dev/?restaurant=don-fred&table=1","36"
"Don Giovanni Pizza Bar","info@dongiovannipizzabar.com.au","Pizzeria","Surry Hills e Darlinghurst","0422 582 318","http://www.dongiovannipizzabar.com.au","https://gustobolsa-chat.pages.dev/?restaurant=don-giovanni-pizza-bar&table=1","15"
"Don't Tell Aunty","info@donttellaunty.com.au","indian","Surry Hills e Darlinghurst","","https://donttellaunty.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=don-t-tell-aunty&table=1","47"
"Donny's","bookings@donnys.com.au","Bar","Manly","(02) 9977 1887","http://www.donnys.com.au","https://gustobolsa-chat.pages.dev/?restaurant=donny-s&table=1","9"
"door knock","events@doorknock.com.au","","Centro citta' (CBD)","","https://www.doorknock.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=door-knock&table=1","33"
"Dove and Olive","marketing@doveandolive.com.au","","Surry Hills e Darlinghurst","+61 2 9699 6001","https://doveandolive.com.au/","https://gustobolsa-chat.pages.dev/?restaurant=dove-and-olive&table=1","8"
"Duk Inn Newtown","bizniz@dukinn.com.au","Chinese Restaurant","Newtown","0402 887 928","https://dukinn.com.au","https://gustobolsa-chat.pages.dev/?restaurant=duk-inn-newtown&table=1","52"
"Dynasty Karaoke","bookings@dynastyclub.com.au","Karaoke Bar","Haymarket e Chinatown","(02) 9281 9006","https://www.dynastykaraoke.com.au","https://gustobolsa-chat.pages.dev/?restaurant=dynasty-karaoke&table=1","105"
"East Village Sydney","hello@evhotel.com.au","Beer Bar","Surry Hills e Darlinghurst","0431 622 944","http://www.eastvillagesydney.com.au","https://gustobolsa-chat.pages.dev/?restaurant=east-village-sydney&table=1","37"
"Eastbank","info@eastbank.com.au","Italian Restaurant","Circular Quay e The Rocks","(02) 9241 6722","http://www.eastbank.com.au","https://gustobolsa-chat.pages.dev/?restaurant=eastbank&table=1","34"
"Eat Ozzo","hello@eatozzo.com","coffee_shop, pizza","Darling Harbour e Barangaroo","+61 450 925 094","https://www.eatozzo.com/","https://gustobolsa-chat.pages.dev/?restaurant=eat-ozzo&table=1","82"
"Echo Point","info@echopoint.club","Karaoke Bar","Centro citta' (CBD)","(02) 9283 1618","http://www.echopoint.club","https://gustobolsa-chat.pages.dev/?restaurant=echo-point&table=1","11"
"Edomae Sushi Yokocho","infoburwood@edomaesushi.com.au","Sushi Restaurant","Centro citta' (CBD)","0499 944 895","http://edomaesushi.com.au","https://gustobolsa-chat.pages.dev/?restaurant=edomae-sushi-yokocho&table=1","69"
"El Camino","reservations@hunter-street.com.au","Mexican Restaurant","Manly","(02) 8099 7075","http://www.elcaminocantina.com.au","https://gustobolsa-chat.pages.dev/?restaurant=el-camino&table=1","20"
